card_id,implementation,hooks,source_kind,upstream_repositories,upstream_match_count,verification_status
TIME_852,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_871,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_876,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_102,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_110,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_223,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_224,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_225,declarative,deathrattle,local_spec,,0,focused_test_and_regression
TLC_228,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_240,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_241,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_241t,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_243,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_249,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_401,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_432,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_436,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_461,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_463,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_480,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_482,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_514,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_600,declarative,battlecry,local_spec,,0,focused_test_and_regression
TLC_603,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_606,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_623,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_624,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_813,legacy_compatibility,,local_legacy,,0,regression_suite_only
TLC_820,declarative,deathrattle,local_spec,,0,focused_test_and_regression
TLC_888,legacy_compatibility,,local_legacy,,0,regression_suite_only
